0.0965,0.023139,0.14927
0.097,0.023165,0.14911
0.0975,0.02319,0.14896
0.098,0.023216,0.1488
0.0985,0.023242,0.14864
0.099,0.023269,0.14849
0.0995,0.023295,0.14833
0.1,0.023322,0.14818
0.1005,0.023348,0.14802
0.101,0.023375,0.14786
0.1015,0.023402,0.14771
0.102,0.02343,0.14755
0.1025,0.023457,0.1474
0.103,0.023485,0.14724
0.1035,0.023513,0.14708
0.104,0.023541,0.14693
0.1045,0.023569,0.14677
0.105,0.023597,0.14661
0.1055,0.023626,0.14646
0.106,0.023654,0.1463
0.1065,0.023683,0.14614
0.107,0.023712,0.14599
0.1075,0.023741,0.14583
0.108,0.023771,0.14567
0.1085,0.0238,0.14552
0.109,0.02383,0.14536
0.1095,0.02386,0.1452
0.11,0.02389,0.14505
0.1105,0.02392,0.14489
0.111,0.02395,0.14473
0.1115,0.023981,0.14457
0.112,0.024011,0.14442
0.1125,0.024042,0.14426
0.113,0.024073,0.1441
0.1135,0.024104,0.14395
0.114,0.024136,0.14379
0.1145,0.024167,0.14363
0.115,0.024199,0.14347
0.1155,0.024231,0.14332
0.116,0.024263,0.14316
0.1165,0.024295,0.143
0.117,0.024327,0.14284
0.1175,0.02436,0.14269
0.118,0.024392,0.14253
0.1185,0.024425,0.14237
0.119,0.024458,0.14221
0.1195,0.024491,0.14205
0.12,0.024525,0.1419
0.1205,0.024558,0.14174
0.121,0.024592,0.14158
0.1215,0.024626,0.14142
0.122,0.02466,0.14126
0.1225,0.024694,0.14111
0.123,0.024728,0.14095
0.1235,0.024762,0.14079
0.124,0.024797,0.14063
0.1245,0.024832,0.14047
0.125,0.024867,0.14031
0.1255,0.024902,0.14016
0.126,0.024937,0.14
0.1265,0.024972,0.13984
0.127,0.025008,0.13968
0.1275,0.025044,0.13952
0.128,0.025079,0.13936
0.1285,0.025115,0.1392
0.129,0.025152,0.13904
0.1295,0.025188,0.13888
0.13,0.025225,0.13873
0.1305,0.025261,0.13857
0.131,0.025298,0.13841
0.1315,0.025335,0.13825
0.132,0.025372,0.13809
0.1325,0.025409,0.13793
0.133,0.025447,0.13777
0.1335,0.025484,0.13761
0.134,0.025522,0.13745
0.1345,0.02556,0.13729
0.135,0.025598,0.13713
0.1355,0.025636,0.13697
0.136,0.025675,0.13681
0.1365,0.025713,0.13665
0.137,0.025752,0.13649
0.1375,0.025791,0.13633
0.138,0.02583,0.13617
0.1385,0.025869,0.13601
0.139,0.025908,0.13585
0.1395,0.025947,0.13569
0.14,0.025987,0.13553
0.1405,0.026027,0.13537
0.141,0.026067,0.13521
0.1415,0.026107,0.13505
0.142,0.026147,0.13489
0.1425,0.026187,0.13473
0.143,0.026228,0.13457
0.1435,0.026268,0.13441
0.144,0.026309,0.13425
0.1445,0.02635,0.13409
0.145,0.026391,0.13392
0.1455,0.026432,0.13376
0.146,0.026474,0.1336
0.1465,0.026515,0.13344
0.147,0.026557,0.13328
0.1475,0.026599,0.13312
0.148,0.026641,0.13296
0.1485,0.026683,0.1328
0.149,0.026725,0.13263
0.1495,0.026768,0.13247
0.15,0.02681,0.13231
0.1505,0.026853,0.13215
0.151,0.026896,0.13199
0.1515,0.026939,0.13183
0.152,0.026982,0.13166
0.1525,0.027025,0.1315
0.153,0.027069,0.13134
0.1535,0.027112,0.13118
0.154,0.027156,0.13102
0.1545,0.0272,0.13085
0.155,0.027244,0.13069
0.1555,0.027288,0.13053
0.156,0.027332,0.13037
0.1565,0.027377,0.1302
0.157,0.027422,0.13004
0.1575,0.027466,0.12988
0.158,0.027511,0.12971
0.1585,0.027556,0.12955
0.159,0.027601,0.12939
